sleep,stress,focus,screen_time,risk_score,risk_level
6.6,7.0,1.0,7.5,68,Moderate
6.7,8.2,2.5,6.2,61,Moderate
4.5,9.3,7.4,3.1,60,Moderate
6.2,3.1,7.0,7.8,36,Low
6.7,4.6,9.7,13.0,50,Moderate
5.2,2.4,7.8,2.5,21,Low
5.3,9.9,9.6,5.5,59,Moderate
5.9,9.3,7.3,4.5,59,Moderate
4.1,5.9,3.7,4.9,51,Moderate
5.6,8.6,1.9,12.9,82,High
5.1,5.7,8.0,7.6,43,Low
5.6,6.6,6.8,7.6,47,Moderate
4.6,1.8,1.4,11.1,50,Moderate
8.5,7.8,4.2,3.9,47,Moderate
7.0,2.1,9.6,7.8,21,Low
7.4,8.4,5.5,7.2,61,Moderate
7.9,8.0,4.9,9.2,61,Moderate
6.5,7.4,5.1,14.0,65,Moderate
4.4,1.3,2.9,11.2,56,Moderate
6.7,3.7,4.3,6.8,45,Moderate
6.9,3.4,4.3,11.9,47,Moderate
7.7,4.2,1.5,4.0,41,Low
6.2,1.8,7.9,2.4,12,Low
4.6,9.4,4.7,4.5,68,Moderate
5.4,6.0,8.4,6.1,40,Low
5.8,3.7,8.7,8.1,30,Low
7.2,4.6,2.9,9.4,50,Moderate
6.9,5.0,6.9,12.9,56,Moderate
5.8,6.4,5.3,8.1,56,Moderate
8.9,5.6,8.9,8.0,30,Low
7.0,9.3,2.9,2.6,55,Moderate
5.2,5.5,7.1,2.4,39,Low
4.5,9.9,6.5,8.6,77,High
4.8,8.7,3.7,7.3,74,Moderate
5.2,2.9,2.2,12.1,57,Moderate
4.8,9.4,6.9,3.9,67,Moderate
4.9,2.0,7.6,2.3,16,Low
5.4,8.4,3.8,7.4,71,Moderate
4.9,4.4,6.8,4.8,47,Moderate
8.5,8.9,4.6,2.6,50,Moderate
4.4,8.8,7.4,10.7,75,High
6.6,8.3,2.8,3.3,54,Moderate
6.1,8.1,9.0,9.3,65,Moderate
8.9,3.7,3.6,5.4,24,Low
4.6,1.7,4.3,4.1,28,Low
6.0,4.6,1.5,6.6,51,Moderate
8.8,2.6,2.0,11.6,51,Moderate
8.3,7.3,5.6,6.7,50,Moderate
8.1,4.1,3.4,11.0,46,Moderate
5.3,9.8,8.5,3.5,55,Moderate
4.9,6.8,1.1,11.3,76,High
7.3,8.4,4.4,4.8,51,Moderate
8.6,2.2,4.0,10.1,41,Low
6.8,8.8,1.2,8.8,68,Moderate
6.9,9.3,2.1,13.1,94,High
5.4,5.4,4.7,6.6,56,Moderate
7.8,6.5,5.4,2.8,43,Low
4.9,7.9,4.6,2.2,52,Moderate
5.6,2.6,5.8,11.9,49,Moderate
6.1,5.5,6.4,8.3,44,Low
6.5,4.6,1.1,11.3,61,Moderate
5.2,2.3,5.2,4.8,36,Low
4.6,4.3,9.7,6.1,45,Moderate
7.1,1.6,5.7,2.4,11,Low
5.4,1.2,7.1,13.5,44,Low
6.9,2.2,3.8,10.0,42,Low
4.8,9.7,8.0,13.2,76,High
6.4,5.9,8.0,5.2,44,Low
6.7,9.7,5.7,9.3,68,Moderate
4.3,4.9,9.8,10.1,51,Moderate
5.7,3.8,2.1,5.8,45,Moderate
4.7,5.6,1.2,12.2,72,Moderate
4.3,5.0,7.9,13.4,64,Moderate
8.9,2.0,8.3,12.6,31,Low
5.6,6.8,2.1,10.9,71,Moderate
8.0,2.9,3.4,5.3,27,Low
5.3,6.6,1.2,5.4,63,Moderate
7.4,6.9,3.6,13.6,79,High
7.8,2.4,8.0,2.1,13,Low
7.0,1.6,5.7,10.6,42,Low
6.4,8.0,4.1,10.5,64,Moderate
6.1,5.1,4.3,9.5,57,Moderate
5.7,1.5,1.0,13.9,53,Moderate
8.6,10.0,3.7,5.7,54,Moderate
8.2,1.5,6.8,6.1,16,Low
8.8,7.3,9.8,2.9,35,Low
4.6,9.9,8.6,7.3,73,Moderate
7.7,3.2,1.2,5.1,39,Low
8.7,2.3,9.1,6.1,9,Low
4.9,2.1,8.0,12.0,45,Moderate
4.3,3.7,8.0,13.2,60,Moderate
7.7,1.9,5.1,4.2,22,Low
6.9,7.2,4.6,6.5,46,Moderate
8.2,1.6,3.7,13.1,39,Low
4.7,5.6,1.6,2.7,52,Moderate
8.0,10.0,3.1,3.1,61,Moderate
5.0,8.3,3.2,4.0,52,Moderate
4.8,6.5,5.4,9.1,63,Moderate
4.8,3.8,7.7,3.8,34,Low
8.1,6.6,5.3,13.6,69,Moderate
7.3,5.7,1.5,7.4,59,Moderate
6.6,4.8,9.6,8.0,42,Low
5.8,2.2,9.5,5.0,18,Low
8.4,9.0,8.1,7.7,44,Low
6.0,5.0,9.9,9.9,44,Low
8.1,2.8,5.9,11.0,44,Low
6.2,4.3,9.7,11.0,52,Moderate
5.9,4.7,1.7,8.9,63,Moderate
6.3,8.4,4.3,12.9,81,High
5.5,7.6,3.0,11.8,80,High
7.7,7.9,2.8,11.1,67,Moderate
6.5,1.1,2.3,2.7,23,Low
5.2,4.7,6.6,2.1,43,Low
8.5,5.3,8.0,4.5,24,Low
5.9,1.2,6.2,10.0,45,Moderate
6.7,3.3,2.3,6.9,42,Low
8.5,7.8,8.3,6.8,52,Moderate
7.1,2.2,6.7,12.6,36,Low
4.6,5.8,4.5,12.7,75,High
8.7,2.9,7.1,12.9,37,Low
7.1,1.1,3.3,5.8,20,Low
5.7,3.2,4.1,10.3,53,Moderate
4.7,9.8,9.3,5.3,67,Moderate
8.0,8.2,3.6,4.3,48,Moderate
7.1,9.6,5.2,4.2,51,Moderate
6.7,5.4,9.0,6.1,37,Low
8.5,2.0,7.4,7.2,22,Low
7.9,5.9,1.6,12.0,68,Moderate
4.8,5.1,2.3,3.4,54,Moderate
5.6,8.6,1.1,10.8,83,High
5.2,1.9,6.7,8.4,46,Moderate
7.7,5.4,5.0,5.5,41,Low
4.2,2.4,2.2,7.9,49,Moderate
6.8,3.9,9.6,5.6,20,Low
7.8,7.6,5.8,9.2,57,Moderate
8.4,5.3,3.2,7.2,44,Low
5.7,4.4,5.5,4.0,43,Low
8.1,4.6,7.1,3.4,28,Low
4.6,5.1,1.7,8.6,59,Moderate
8.2,8.1,3.5,12.8,73,Moderate
4.6,9.0,8.3,6.1,66,Moderate
6.0,9.6,5.1,10.8,86,High
8.0,8.1,5.9,9.9,65,Moderate
4.7,3.8,4.9,13.2,67,Moderate
5.1,7.2,1.4,11.9,81,High
7.6,4.9,2.5,8.8,54,Moderate
7.6,3.3,5.0,9.9,49,Moderate
7.2,8.6,2.9,12.8,72,Moderate
7.5,1.3,1.4,6.8,32,Low
6.7,9.1,8.6,5.9,51,Moderate
5.3,5.2,9.8,2.1,32,Low
5.7,6.7,8.1,11.9,69,Moderate
4.9,6.9,8.7,11.6,62,Moderate
8.5,9.1,3.2,3.3,40,Low
6.9,6.7,9.6,8.9,47,Moderate
6.0,6.5,2.8,7.6,66,Moderate
6.3,1.6,9.6,3.4,17,Low
8.7,5.7,10.0,13.8,51,Moderate
4.8,2.4,7.4,4.6,29,Low
6.9,7.6,9.8,2.8,31,Low
6.5,5.6,6.1,9.1,55,Moderate
7.1,7.1,3.3,10.9,63,Moderate
4.1,1.4,4.9,2.4,38,Low
8.4,1.8,6.3,9.9,33,Low
8.7,7.4,1.7,8.4,57,Moderate
6.8,1.6,6.6,3.2,15,Low
7.5,1.6,9.8,4.1,11,Low
8.6,1.1,2.7,8.8,30,Low
7.5,9.6,8.1,5.6,60,Moderate
4.8,7.6,9.2,13.3,73,Moderate
6.9,4.2,9.5,11.8,41,Low
7.0,3.7,9.6,13.8,56,Moderate
6.1,4.1,5.7,5.1,38,Low
7.7,8.0,9.8,13.6,67,Moderate
8.7,7.0,7.8,7.2,40,Low
8.6,2.7,2.5,6.2,34,Low
6.3,2.6,5.3,2.6,27,Low
4.6,1.9,7.5,2.6,14,Low
8.9,6.9,3.2,10.3,69,Moderate
8.2,7.9,6.8,7.5,58,Moderate
4.6,3.4,7.0,4.7,34,Low
8.6,1.2,2.5,9.4,28,Low
8.3,1.7,6.1,5.0,20,Low
6.6,9.7,7.9,8.9,67,Moderate
7.0,3.7,5.5,6.3,38,Low
6.0,7.9,1.1,11.9,83,High
4.3,6.6,1.1,11.8,84,High
5.7,4.4,4.2,7.7,58,Moderate
8.0,2.9,9.3,6.2,24,Low
4.0,2.1,3.1,6.4,39,Low
5.7,6.5,6.7,11.7,72,Moderate
6.0,8.0,3.0,5.9,71,Moderate
6.7,6.8,3.9,4.5,66,Moderate
8.6,5.8,8.6,3.0,20,Low
5.7,1.4,7.6,7.6,31,Low
5.7,9.7,1.9,7.8,68,Moderate
7.7,8.2,4.9,12.1,73,Moderate
6.3,3.6,1.3,4.7,40,Low
5.1,9.8,5.3,6.6,81,High
6.3,6.4,7.0,11.7,58,Moderate
4.7,6.2,2.1,11.9,68,Moderate
4.9,7.7,3.6,6.6,64,Moderate
6.5,8.3,4.6,7.5,54,Moderate
6.1,6.9,9.3,5.6,49,Moderate
8.6,2.2,9.9,13.2,22,Low
5.8,4.0,1.4,3.4,43,Low
6.9,9.4,7.8,13.2,64,Moderate
7.2,3.0,4.3,10.2,43,Low
4.1,4.3,4.5,8.4,65,Moderate
7.3,4.9,7.8,2.4,28,Low
4.9,5.0,9.3,7.7,41,Low
8.8,6.5,9.6,6.9,36,Low
4.7,9.5,6.2,3.9,63,Moderate
6.1,3.2,4.2,9.9,51,Moderate
4.4,2.1,8.1,13.7,45,Moderate
9.0,2.8,3.3,8.7,39,Low
6.5,9.0,6.1,10.6,58,Moderate
7.0,6.8,4.2,2.8,41,Low
4.3,3.6,6.9,7.0,42,Low
7.7,8.3,3.2,3.4,55,Moderate
5.0,8.8,2.7,9.4,79,High
8.5,8.6,9.3,13.3,56,Moderate
5.0,9.3,1.9,9.9,80,High
5.0,3.3,5.6,2.9,34,Low
4.2,7.8,3.0,6.3,69,Moderate
6.4,5.1,1.4,8.6,56,Moderate
6.8,8.6,1.3,6.8,66,Moderate
4.3,7.6,2.6,12.0,87,High
7.9,8.0,8.8,11.8,57,Moderate
6.3,6.9,3.5,9.3,64,Moderate
6.6,2.6,9.6,6.5,36,Low
6.2,5.9,6.2,5.1,37,Low
6.0,9.9,4.9,3.3,52,Moderate
6.8,9.4,6.2,6.3,65,Moderate
4.8,1.4,5.7,7.0,32,Low
4.9,2.5,7.8,10.1,42,Low
8.3,2.2,3.5,9.9,34,Low
8.7,7.5,4.2,2.8,40,Low
5.9,8.4,9.0,6.7,63,Moderate
5.4,2.9,9.5,4.2,29,Low
7.2,5.6,9.0,3.9,35,Low
6.0,8.6,4.8,11.9,70,Moderate
4.1,7.6,8.0,2.5,44,Low
4.8,5.9,5.3,7.0,42,Low
7.6,6.3,5.5,4.0,36,Low
7.3,5.6,2.8,12.6,70,Moderate
4.1,3.7,6.3,8.7,53,Moderate
5.1,6.1,2.7,4.8,54,Moderate
5.2,7.2,4.0,8.0,66,Moderate
7.4,8.9,8.7,10.8,60,Moderate
4.1,6.7,2.9,13.5,84,High
4.5,7.9,1.6,4.6,71,Moderate
8.0,2.4,1.6,12.6,43,Low
4.9,5.2,9.5,13.2,61,Moderate
7.3,1.1,5.6,13.0,45,Moderate
5.2,3.2,4.7,9.6,48,Moderate
4.5,7.5,8.3,9.6,68,Moderate
5.2,9.9,8.5,6.8,80,High
7.6,1.9,4.0,11.0,40,Low
8.3,4.6,7.2,8.4,40,Low
8.2,8.2,7.9,10.1,54,Moderate
6.0,2.8,6.9,7.1,36,Low
7.3,6.0,2.4,10.8,65,Moderate
5.0,7.6,8.9,11.9,69,Moderate
5.5,6.5,5.9,3.8,42,Low
8.5,2.7,3.5,12.0,46,Moderate
4.1,4.2,4.8,8.5,63,Moderate
4.4,8.1,1.3,12.1,90,High
5.0,6.0,2.2,7.2,67,Moderate
4.1,1.0,7.9,6.5,29,Low
4.9,7.8,1.0,13.0,92,High
6.9,1.3,4.7,5.0,26,Low
6.1,7.7,5.7,12.1,67,Moderate
8.5,2.8,1.5,7.8,41,Low
8.1,9.6,9.8,8.2,50,Moderate
5.7,4.3,3.0,5.7,44,Low
5.3,3.9,3.7,8.9,54,Moderate
5.9,2.3,3.7,5.9,38,Low
7.0,3.8,3.1,2.5,26,Low
5.3,8.9,1.0,5.3,77,High
7.1,10.0,7.6,2.1,52,Moderate
6.0,4.3,9.7,13.7,49,Moderate
6.8,5.0,3.0,13.6,59,Moderate
6.2,7.5,7.0,6.7,54,Moderate
5.5,9.0,7.7,10.7,70,Moderate
8.7,6.3,8.6,6.1,36,Low
7.8,4.5,4.8,10.1,46,Moderate
4.7,4.7,3.7,11.7,56,Moderate
8.3,7.3,3.9,13.4,67,Moderate
6.4,1.0,7.4,6.8,22,Low
8.5,6.6,8.4,11.4,54,Moderate
8.0,4.2,2.6,5.2,35,Low
6.1,8.1,4.3,13.9,89,High
4.1,1.8,9.1,2.3,11,Low
5.3,6.3,8.3,9.2,62,Moderate
6.7,5.3,9.9,9.9,44,Low
7.2,6.8,7.8,10.3,59,Moderate
5.3,1.6,4.5,3.4,28,Low
4.7,6.2,6.3,13.3,77,High
8.2,6.1,6.9,4.2,33,Low
8.9,6.0,1.7,9.5,50,Moderate
6.6,6.4,5.9,4.7,52,Moderate
4.9,7.1,7.4,5.7,53,Moderate
5.4,8.2,2.5,8.6,75,High
4.1,3.4,8.0,7.0,48,Moderate
8.6,8.4,6.3,3.9,40,Low
4.6,5.5,9.6,4.1,42,Low
6.9,1.7,1.4,7.0,35,Low
5.4,1.5,3.4,11.1,48,Moderate
6.8,4.0,6.4,12.8,53,Moderate
7.3,8.1,3.7,3.0,43,Low
8.1,7.4,7.4,6.7,42,Low
5.0,8.1,7.8,3.2,57,Moderate
4.1,5.7,1.9,2.2,57,Moderate
4.7,5.0,5.6,9.9,59,Moderate
8.5,2.3,5.6,9.2,33,Low
8.4,4.0,4.3,4.0,28,Low
7.0,4.9,9.4,4.8,37,Low
7.0,1.8,8.4,2.3,11,Low
7.3,3.0,7.3,12.0,44,Low
4.9,6.4,7.4,13.7,76,High
8.6,7.6,5.2,3.6,39,Low
6.1,10.0,9.3,4.8,64,Moderate
5.9,9.4,7.3,12.4,70,Moderate
6.6,6.8,7.6,13.1,73,Moderate
4.2,4.8,8.8,7.0,44,Low
4.8,6.7,3.5,2.6,51,Moderate
7.7,8.1,8.3,2.5,29,Low
4.4,2.1,2.8,8.9,48,Moderate
7.0,4.7,4.1,6.7,39,Low
5.2,8.6,4.0,2.3,54,Moderate
5.9,4.5,9.8,9.0,41,Low
5.4,6.1,8.7,2.1,41,Low
5.8,6.3,7.3,11.4,63,Moderate
7.6,2.7,7.5,5.7,26,Low
5.5,4.3,6.1,2.5,28,Low
6.8,4.0,9.5,9.1,33,Low
6.4,1.2,5.5,6.8,38,Low
7.3,1.2,4.4,13.7,41,Low
8.7,8.5,2.5,8.5,72,Moderate
7.7,3.5,8.1,5.3,24,Low
5.1,5.7,7.6,10.5,58,Moderate
4.2,3.7,4.5,5.3,51,Moderate
5.3,9.5,1.2,12.9,100,High
7.0,3.3,8.6,6.5,29,Low
4.3,4.9,1.1,8.6,64,Moderate
6.5,8.9,7.3,2.6,48,Moderate
7.0,8.6,9.7,7.1,54,Moderate
5.7,2.7,4.9,12.0,56,Moderate
7.9,8.2,3.1,11.7,72,Moderate
4.5,5.1,7.3,4.7,47,Moderate
4.4,5.3,8.4,4.7,52,Moderate
7.6,2.2,5.9,11.8,42,Low
6.5,1.7,9.7,13.2,40,Low
7.4,7.6,1.5,3.1,45,Moderate
6.2,5.5,5.5,7.4,37,Low
5.2,4.9,7.5,6.0,46,Moderate
8.1,7.6,8.8,12.4,58,Moderate
8.0,7.9,2.6,3.0,47,Moderate
7.5,2.4,8.2,4.5,20,Low
5.4,6.5,6.0,11.0,65,Moderate
7.0,2.2,4.6,2.6,28,Low
5.8,7.8,2.2,7.9,70,Moderate
4.5,6.9,8.8,7.3,52,Moderate
8.6,9.6,2.4,6.0,68,Moderate
4.7,1.6,3.8,6.7,39,Low
8.8,1.5,3.6,8.4,32,Low
6.2,3.5,8.8,3.9,23,Low
